Trading Day,Prediction Type,Price
2020-02-15,WE,9.47
2020-02-16,WE,9.47
2020-02-17,DA,9.75
2020-02-18,DA,9.9
2020-02-19,DA,10.025
2020-02-20,DA,10.99
2020-02-21,DA,11.0
2020-02-22,WE,11.0
2020-02-23,WE,11.0
2020-02-24,DA,11.0
2020-02-25,DA,10.14
2020-02-26,DA,10.15
2020-02-27,DA,9.1
2020-02-28,DA,9.025
2020-02-29,WE,8.66
2020-03-02,DA,8.88
2020-03-03,DA,8.3
2020-03-04,DA,8.66
2020-03-05,DA,8.8
2020-03-06,DA,8.65
2020-03-07,WE,8.5
2020-03-08,WE,8.5
2020-03-09,DA,8.75
2020-03-10,DA,9.3
2020-03-11,DA,9.2
2020-03-12,DA,9.2
2020-03-13,DA,9.2
2020-03-14,WE,8.7
2020-03-15,WE,8.7
2020-03-16,DA,8.8
2020-03-17,DA,9.5
2020-03-18,DA,9.75
2020-03-19,DA,9.25
2020-03-20,DA,8.7
2020-03-21,WE,7.84
2020-03-22,WE,7.84
2020-03-23,DA,8.0
2020-03-24,DA,8.4
2020-03-25,DA,8.7
2020-03-26,DA,8.35
2020-03-27,DA,7.49
2020-03-28,WE,7.05
2020-03-29,WE,7.05
2020-03-30,DA,7.24
2020-03-31,DA,7.35
2020-04-01,DA,7.25
2020-04-02,DA,7.4
2020-04-03,DA,8.0
2020-04-04,WE,7.86
2020-04-05,WE,7.86
2020-04-06,DA,7.5
2020-04-07,DA,8.25
2020-04-08,DA,8.25
2020-04-09,DA,7.8
2020-04-10,WE,8.0
2020-04-13,WE,8.0
2020-04-14,DA,8.0
2020-04-15,DA,8.06
2020-04-16,DA,8.05
2020-04-17,DA,7.5
2020-04-18,WE,7.3
2020-04-19,WE,7.3
2020-04-20,DA,7.5
2020-04-21,DA,7.19
2020-04-22,DA,7.2
2020-04-23,DA,6.7
2020-04-24,DA,6.5
2020-04-25,WE,6.1
2020-04-26,WE,6.1
2020-04-27,DA,6.35
2020-04-28,DA,6.29
2020-04-29,DA,6.29
2020-04-30,DA,6.3
2020-05-01,DA,6.3
2020-05-02,WE,5.85
2020-05-03,WE,5.85
2020-05-04,DA,6.3
2020-05-05,DA,5.8
2020-05-06,DA,6.0
2020-05-07,DA,5.8
2020-05-08,WE,6.0
2020-05-10,WE,6.0
2020-05-11,DA,5.8
2020-05-12,DA,5.95
2020-05-13,DA,5.8
2020-05-14,DA,5.5
2020-05-15,DA,5.45
2020-05-16,WE,5.5
2020-05-17,WE,5.5
2020-05-18,DA,5.45
2020-05-19,DA,5.5
2020-05-20,DA,5.05
2020-05-21,DA,5.05
2020-05-22,DA,4.9
2020-05-23,WE,5.05
2020-05-25,WE,5.05
2020-05-26,DA,4.75
2020-05-27,DA,4.75
2020-05-28,DA,4.6
2020-05-29,DA,4.6
2020-05-30,WE,4.65
2020-05-31,WE,4.65
2020-06-01,DA,4.76
2020-06-02,DA,4.75
2020-06-03,DA,6.2
2020-06-04,DA,6.15
2020-06-05,DA,6.15
2020-06-06,WE,5.11
2020-06-07,WE,5.11
2020-06-08,DA,5.05
2020-06-09,DA,6.0
2020-06-10,DA,6.1
2020-06-11,DA,6.1
