Trading Day,Prediction Type,Price
2020-03-14,WE,8.7
2020-03-15,WE,8.7
2020-03-16,DA,8.8
2020-03-17,DA,9.5
2020-03-18,DA,9.75
2020-03-19,DA,9.25
2020-03-20,DA,8.7
2020-03-21,WE,7.84
2020-03-22,WE,7.84
2020-03-23,DA,8.0
2020-03-24,DA,8.4
2020-03-25,DA,8.7
2020-03-26,DA,8.35
2020-03-27,DA,7.49
2020-03-28,WE,7.05
2020-03-29,WE,7.05
2020-03-30,DA,7.24
2020-03-31,DA,7.35
2020-04-01,DA,7.25
2020-04-02,DA,7.4
2020-04-03,DA,8.0
2020-04-04,WE,7.86
2020-04-05,WE,7.86
2020-04-06,DA,7.5
2020-04-07,DA,8.25
2020-04-08,DA,8.25
2020-04-09,DA,7.8
2020-04-10,WE,8.0
2020-04-13,WE,8.0
2020-04-14,DA,8.0
2020-04-15,DA,8.06
2020-04-16,DA,8.05
2020-04-17,DA,7.5
2020-04-18,WE,7.3
2020-04-19,WE,7.3
2020-04-20,DA,7.5
2020-04-21,DA,7.19
2020-04-22,DA,7.2
2020-04-23,DA,6.7
2020-04-24,DA,6.5
2020-04-25,WE,6.1
2020-04-26,WE,6.1
2020-04-27,DA,6.35
2020-04-28,DA,6.29
