Trading Day,Prediction Type,Price
2020-02-15,WE,9.09
2020-02-16,WE,9.09
2020-02-17,DA,9.033999999999999
2020-02-18,DA,9.267999999999999
2020-02-19,DA,9.628
2020-02-20,DA,9.752
2020-02-21,DA,9.749
2020-02-22,WE,9.459
2020-02-23,WE,9.459
2020-02-24,DA,9.576
2020-02-25,DA,9.171
2020-02-26,DA,9.258
2020-02-27,DA,9.357000000000001
2020-02-28,DA,9.184
2020-02-29,WE,9.047
2020-03-02,DA,9.158999999999999
2020-03-03,DA,9.301
2020-03-04,DA,9.506
2020-03-05,DA,9.307
2020-03-06,DA,9.355
2020-03-07,WE,8.839
2020-03-08,WE,8.839
2020-03-09,DA,8.923
2020-03-10,DA,8.804
2020-03-11,DA,9.13
2020-03-12,DA,9.298
2020-03-13,DA,9.251
2020-03-14,WE,9.28
2020-03-15,WE,9.28
2020-03-16,DA,9.466000000000001
2020-03-17,DA,8.802999999999999
2020-03-18,DA,8.48
2020-03-19,DA,8.407
2020-03-20,DA,8.699
2020-03-21,WE,8.203
2020-03-22,WE,8.203
2020-03-23,DA,8.302999999999999
2020-03-24,DA,8.035
2020-03-25,DA,8.142000000000001
2020-03-26,DA,7.961
2020-03-27,DA,7.782
2020-03-28,WE,7.3020000000000005
2020-03-29,WE,7.3020000000000005
2020-03-30,DA,7.343999999999999
2020-03-31,DA,7.147
2020-04-01,DA,7.15
2020-04-02,DA,7.009
2020-04-03,DA,7.072
2020-04-04,WE,6.98
2020-04-05,WE,6.98
2020-04-06,DA,6.963
2020-04-07,DA,7.17
2020-04-08,DA,7.328
2020-04-09,DA,7.127
2020-04-10,WE,6.907
2020-04-13,WE,6.907
2020-04-14,DA,6.942
2020-04-15,DA,6.995
2020-04-16,DA,6.803
2020-04-17,DA,7.075
2020-04-18,WE,6.551
2020-04-19,WE,6.551
2020-04-20,DA,6.604
2020-04-21,DA,6.259
2020-04-22,DA,5.846
2020-04-23,DA,6.016
2020-04-24,DA,5.792
2020-04-25,WE,5.521
2020-04-26,WE,5.521
2020-04-27,DA,5.54
2020-04-28,DA,5.926
