Trading Day,Prediction Type,Price
2020-02-15,WE,8.835
2020-02-16,WE,8.835
2020-02-17,DA,8.859
2020-02-18,DA,9.293
2020-02-19,DA,9.381
2020-02-20,DA,9.629
2020-02-21,DA,9.636
2020-02-22,WE,9.378
2020-02-23,WE,9.378
2020-02-24,DA,9.349
2020-02-25,DA,9.048
2020-02-26,DA,9.045
2020-02-27,DA,9.207
2020-02-28,DA,8.971
2020-02-29,WE,8.936
2020-03-02,DA,9.003
2020-03-03,DA,9.129
2020-03-04,DA,9.282
2020-03-05,DA,9.116
2020-03-06,DA,9.164
2020-03-07,WE,8.771
2020-03-08,WE,8.771
2020-03-09,DA,8.748
2020-03-10,DA,8.692
2020-03-11,DA,8.987
2020-03-12,DA,9.314
2020-03-13,DA,9.217
2020-03-14,WE,9.232
2020-03-15,WE,9.232
2020-03-16,DA,9.258
2020-03-17,DA,8.693
2020-03-18,DA,8.406
2020-03-19,DA,8.189
2020-03-20,DA,8.422
2020-03-21,WE,8.13
2020-03-22,WE,8.13
2020-03-23,DA,8.161
2020-03-24,DA,7.795
2020-03-25,DA,7.869
2020-03-26,DA,7.734
2020-03-27,DA,7.564
2020-03-28,WE,7.301
2020-03-29,WE,7.301
2020-03-30,DA,7.2879999999999985
2020-03-31,DA,7.0939999999999985
2020-04-01,DA,7.178
2020-04-02,DA,7.09
2020-04-03,DA,7.157
2020-04-04,WE,7.122999999999999
2020-04-05,WE,7.122999999999999
2020-04-06,DA,7.138
2020-04-07,DA,7.332000000000001
2020-04-08,DA,7.369
2020-04-09,DA,7.242000000000001
2020-04-10,WE,6.813
2020-04-13,WE,6.813
2020-04-14,DA,7.017
2020-04-15,DA,6.992000000000001
2020-04-16,DA,6.6370000000000005
2020-04-17,DA,6.667000000000001
2020-04-18,WE,6.082999999999999
2020-04-19,WE,6.082999999999999
2020-04-20,DA,6.087000000000001
2020-04-21,DA,5.989
2020-04-22,DA,5.774
2020-04-23,DA,6.015
2020-04-24,DA,5.684
2020-04-25,WE,5.331
2020-04-26,WE,5.331
2020-04-27,DA,5.3229999999999995
2020-04-28,DA,5.718999999999999
2020-04-29,DA,5.798
