Trading Day,Prediction Type,Price
2020-02-15,WE,9.588
2020-02-16,WE,9.588
2020-02-17,DA,9.611
2020-02-18,DA,10.078
2020-02-19,DA,11.0
2020-02-20,DA,10.788
2020-02-21,DA,10.553
2020-02-22,WE,10.454
2020-02-23,WE,10.454
2020-02-24,DA,10.613
2020-02-25,DA,10.213
2020-02-26,DA,10.475
2020-02-27,DA,10.391
2020-02-28,DA,10.334
2020-02-29,WE,9.65
2020-03-02,DA,10.077
2020-03-03,DA,9.781
2020-03-04,DA,10.138
2020-03-05,DA,9.894
2020-03-06,DA,9.715
2020-03-07,WE,9.25
2020-03-08,WE,9.25
2020-03-09,DA,9.323
2020-03-10,DA,9.225
2020-03-11,DA,9.5
2020-03-12,DA,9.5
2020-03-13,DA,9.872
2020-03-14,WE,9.864
2020-03-15,WE,9.864
2020-03-16,DA,9.921
2020-03-17,DA,9.16
2020-03-18,DA,8.885
2020-03-19,DA,8.768
2020-03-20,DA,8.984
2020-03-21,WE,8.7
2020-03-22,WE,8.7
2020-03-23,DA,8.761
2020-03-24,DA,8.388
2020-03-25,DA,8.55
2020-03-26,DA,8.365
2020-03-27,DA,8.207
2020-03-28,WE,7.792
2020-03-29,WE,7.792
2020-03-30,DA,7.892
2020-03-31,DA,7.624
2020-04-01,DA,7.841
